[20240107] 24レース
  202[20240107] +7R (累計31R)
[20240108] +24R (累計55R)
curl: (7) Failed to connect to 127.0.0.1 port 36917 after 0 ms: Couldn't connect to server
11R 14頭 OK (4件目)
  202408020305 京都5R 16頭 OK (250件目)
  202408020306 京都6R 9頭 OK (251件目)
  202408020307 京都7R 11頭 OK (252件目)
  202408020308 京都8R 12頭 OK (253件目)
  202408020309 京都9R 16頭 OK (254件目)
  202408020310 京都10R 11頭 OK (255件目)
  202408020311 京都11R 12頭 OK (256件目)
  202408020312 京都12R 16頭 OK (257件目)
  202410010701 小倉1R 16頭 OK (258件目)
  202410010702 小倉2R 14頭 OK (259件目)
  202410010703 小倉3R 14頭 OK (260件目)
  202410010704 小倉4R 14頭 OK (261件目)
  202410010705 小倉5R 12頭 OK (262件目)
  202410010706 小倉6R 12頭 OK (263件目)
  202410010707 小倉7R 15頭 OK (264件目)
  202410010708 小倉8R 16頭 OK (265件目)
  202410010709 小倉9R 12頭 OK (266件目)
  202410010710 小倉10R 14頭 OK (267件目)
  202410010711 小倉11R 11頭 OK (268件目)
  202410010712 小倉12R 11頭 OK (269件目)
[20240204] 36レース
  202405010401 東京1R 16頭 OK (270件目)
  202405010402 東京2R 16頭 OK (271件目)
  202405010403 東京3R 16頭 OK (272件目)
  202405010404 東京4R 15頭 OK (273件目)
  202405010405 東京5R 16頭 OK (274件目)
  202405010406 東京6R 15頭 OK (275件目)
  202405010407 東京7R 7頭 OK (276件目)
  202405010408 東京8R 16頭 OK (277件目)
  202405010409 東京9R 9頭 OK (278件目)
  202405010410 東京10R 16頭 OK (279件目)
  202405010411 東京11R 16頭 OK (280件目)
  202405010412 東京12R 16頭 OK (281件目)
  202408020401 京都1R 7頭 OK (282件目)
  202408020402 京都2R 11頭 OK (283件目)
  202408020403 京都3R 8頭 OK (284件目)
  202408020404 京都4R 9頭 OK (285件目)
  202408020405 京都5R 17頭 OK (286件目)
  202408020406 京都6R 11頭 OK (287件目)
  202408020407 京都7R 10頭 OK (288件目)
  202408020408 京都8R 8頭 OK (289件目)
  202408020409 京都9R 14頭 OK (290件目)
  202408020410 京都10R 16頭 OK (291件目)
  202408020411 京都11R 12頭 OK (292件目)
  202408020412 京都12R 14頭 OK (293件目)
  202410010801 小倉1R 15頭 OK (294件目)
  202410010802 小倉2R 12頭 OK (295件目)
  202410010803 小倉3R 14頭 OK (296件目)
  202410010804 小倉4R 12頭 OK (297件目)
  202410010805 小倉5R 12頭 OK (298件目)
  202410010806 小倉6R 18頭 OK (299件目)
  202410010807 小倉7R 10頭 OK (300件目)
  202410010808 小倉8R 12頭 OK (301件目)
  202410010809 小倉9R 11頭 OK (302件目)
  202410010810 小倉10R 16頭 OK (303件目)
  202410010811 小倉11R 9頭 OK (304件目)
  202410010812 小倉12R 14頭 OK (305件目)
[20240210] 36レース
  202405010501 東京1R 16頭 OK (306件目)
  202405010502 東京2R 16頭 OK (307件目)
  202405010503 東京3R 16頭 OK (308件目)
  202405010504 東京4R 12頭 OK (309件目)
  202405010505 東京5R 16頭 OK (310件目)
  202405010506 東京6R 16頭 OK (311件目)
  202405010507 東京7R 13頭 OK (312件目)
  202405010508 東京8R 16頭 OK (313件目)
  202405010509 東京9R 12頭 OK (314件目)
  202405010510 東京10R 16頭 OK (315件目)
  202405010511 東京11R 13頭 OK (316件目)
  202405010512 東京12R 15頭 OK (317件目)
  202408020501 京都1R 14頭 OK (318件目)
  202408020502 京都2R 11頭 OK (319件目)
  202408020503 京都3R 16頭 OK (320件目)
  202408020504 京都4R 16頭 OK (321件目)
  202408020505 京都5R 12頭 OK (322件目)
  202408020506 京都6R 13頭 OK (323件目)
  202408020507 京都7R 7頭 OK (324件目)
  202408020508 京都8R 16頭 OK (325件目)
  202408020509 京都9R 9頭 OK (326件目)
  202408020510 京都10R 12頭 OK (327件目)
  202408020511 京都11R 18頭 OK (328件目)
  202408020512 京都12R 14頭 OK (329件目)
  202410020101 小倉1R 14頭 OK (330件目)
  202410020102 小倉2R 14頭 OK (331件目)
  202410020103 小倉3R 14頭 OK (332件目)
  202410020104 小倉4R 12頭 OK (333件目)
  202410020105 小倉5R 12頭 OK (334件目)
  202410020106 小倉6R 12頭 OK (335件目)
  202410020107 小倉7R 11頭 OK (336件目)
  202410020108 小倉8R 11頭 OK (337件目)
  202410020109 小倉9R 8頭 OK (338件目)
  202410020110 小倉10R 14頭 OK (339件目)
  202410020111 小倉11R 16頭 OK (340件目)
  202410020112 小倉12R 18頭 OK (341件目)
[20240211] 36レース
  202405010601 東京1R 16頭 OK (342件目)
  202405010602 東京2R 16頭 OK (343件目)
  202405010603 東京3R 16頭 OK (344件目)
  202405010604 東京4R 16頭 OK (345件目)
  202405010605 東京5R 16頭 OK (346件目)
  202405010606 東京6R 10頭 OK (347件目)
  202405010607 東京7R 15頭 OK (348件目)
  202405010608 東京8R 8頭 OK (349件目)
  202405010609 東京9R 13頭 OK (350件目)
  202405010610 東京10R 16頭 OK (351件目)
  202405010611 東京11R 10頭 OK (352件目)
  202405010612 東京12R 15頭 OK (353件目)
  202408020601 京都1R 12頭 OK (354件目)
  202408020602 京都2R 16頭 OK (355件目)
  202408020603 京都3R 15頭 OK (356件目)
  202408020604 京都4R 9頭 OK (357件目)
  202408020605 京都5R 14頭 OK (358件目)
  202408020606 京都6R 10頭 OK (359件目)
  202408020607 京都7R 11頭 OK (360件目)
  202408020608 京都8R 11頭 OK (361件目)
  202408020609 京都9R 9頭 OK (362件目)
  202408020610 京都10R 15頭 OK (363件目)
