| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | ワイド | blend | raw | exp | top1 | 4923 | 231 | 62.4 | 59.8 | 1.38 | 4.6920% | 0.081780 | 0.068034 |
| MINE | ワイド | blend | raw | exp | top3 | 14148 | 693 | 74.3 | 71.8 | 1.29 | 4.8980% | 0.074860 | 0.064907 |
| MINE | ワイド | blend | raw | exp | top5 | 21997 | 1041 | 73.1 | 70.7 | 1.24 | 4.7320% | 0.070653 | 0.062669 |
| MINE | ワイド | blend | raw | exp | top10 | 34244 | 1506 | 74.0 | 71.6 | 1.20 | 4.3980% | 0.064458 | 0.058505 |
| MINE | ワイド | blend | raw | exp | top20 | 41241 | 1685 | 71.5 | 69.3 | 1.18 | 4.0860% | 0.060245 | 0.055081 |
| MINE | ワイド | blend | iso | floor | ev1.2 | 13106 | 237 | 66.0 | 64.6 | 1.40 | 1.8080% | 0.035577 | 0.026130 |
| MINE | ワイド | blend | iso | floor | top1 | 4760 | 155 | 73.5 | 71.6 | 1.38 | 3.2560% | 0.054604 | 0.043531 |
| MINE | ワイド | blend | iso | floor | top3 | 13324 | 418 | 69.6 | 67.6 | 1.29 | 3.1370% | 0.050763 | 0.042165 |
| MINE | ワイド | blend | iso | floor | top5 | 20293 | 605 | 68.9 | 66.9 | 1.25 | 2.9810% | 0.048227 | 0.040903 |
| MINE | ワイド | blend | iso | floor | top10 | 31249 | 870 | 68.8 | 66.8 | 1.21 | 2.7840% | 0.044470 | 0.038521 |
| MINE | ワイド | blend | iso | floor | top20 | 38687 | 1016 | 65.8 | 64.0 | 1.19 | 2.6260% | 0.041692 | 0.036424 |
| MINE | ワイド | blend | iso | exp | ev1.2 | 15530 | 331 | 65.8 | 64.4 | 1.40 | 2.1310% | 0.039799 | 0.030386 |
